"customer","sale_date","seller"
Aaron Alexander,1992-12-19,Abraham Bennet
Abigail Wood,1992-11-21,Albert Ringer
Abigail Flores,1992-10-18,Ann Dull
Adriana Vance,1992-11-17,Sylvia Panteley
Adrienne Jiménez,1992-12-18,Livia Karsen
Alberto Ramos,1992-12-03,Reginald Blotchet-Halls
Alexandra Alexander,1992-12-15,Dirk Stringer
Alexandria Peterson,1992-12-27,Michael O'Leary
Alexis Wilson,1992-10-17,Heather McBadden
Alexis Hall,1992-10-27,Burt Gringlesby
Alicia Chapman,1992-10-19,Charlene Locksley
Alison Lal,1992-12-24,Sylvia Panteley
Allison Allen,1992-11-19,Morningstar Greene
Alvin Zhao,1992-10-14,Burt Gringlesby
Alvin Zheng,1992-11-27,Albert Ringer
Amanda Bennett,1992-09-25,Livia Karsen
Andrew Hill,1992-11-22,Stearns MacFeather
Angel Phillips,1992-10-07,Charlene Locksley
Angelica Alexander,1992-09-23,Burt Gringlesby
Ann Gonzalez,1992-12-04,Anne Ringer
Annette Hill,1992-11-12,Marjorie Green
Arianna Richardson,1992-11-29,Reginald Blotchet-Halls
Arianna Bell,1992-11-29,Cheryl Carson
Audrey Diaz,1992-12-01,Dean Straight
Austin Zhang,1992-12-12,Sheryl Hunter
Austin Jai,1992-10-06,Innes del Castillo
Barbara Lin,1992-11-17,Sheryl Hunter
Blake Long,1992-10-04,Abraham Bennet
Brad Nath,1992-12-21,Sylvia Panteley
Brad Goel,1992-10-22,Charlene Locksley
Brandon Harris,1992-11-26,Ann Dull
Bridget Chande,1992-11-28,Meander Smith
Caitlin Howard,1992-11-05,Marjorie Green
Caleb Campbell,1992-12-06,Michael O'Leary
Caleb Li,1992-12-11,Reginald Blotchet-Halls
Caleb Patterson,1992-11-29,Michel DeFrance
Carla Gonzalez,1992-12-19,Abraham Bennet
Carlos Howard,1992-12-06,Abraham Bennet
Caroline Butler,1992-11-29,Michel DeFrance
Cassandra Madan,1992-10-24,Cheryl Carson
Catherine Sanders,1992-11-09,Johnson White
Catherine Murphy,1992-09-23,Marjorie Green
Cedric Ma,1992-12-29,Johnson White
Charles Sanders,1992-12-08,Stearns MacFeather
Charles Watson,1992-10-18,Meander Smith
Christian Garcia,1992-12-25,Burt Gringlesby
Christian Hughes,1992-12-12,Reginald Blotchet-Halls
Christy Andersen,1992-10-25,Anne Ringer
Clarence Zeng,1992-09-25,Abraham Bennet
Clayton Zeng,1992-12-08,Albert Ringer
Cody Reed,1992-12-21,Dean Straight
Cole Cook,1992-10-26,Sylvia Panteley
Colleen Nara,1992-11-07,Sylvia Panteley
Connor Edwards,1992-12-05,Morningstar Greene
Cristina Xu,1992-11-27,Abraham Bennet
Dakota Russell,1992-12-07,Abraham Bennet
Dale Holt,1992-11-14,Meander Smith
Danielle Cooper,1992-12-22,Albert Ringer
Danielle Sanders,1992-11-14,Morningstar Greene
Danny Vazquez,1992-10-07,Charlene Locksley
Dave Richards,1992-11-15,Ann Dull
Deb Waldal,1992-12-25,Dean Straight
Dennis Wu,1992-11-18,Sheryl Hunter
Devin Nelson,1992-11-29,Stearns MacFeather
Donald Raman,1992-12-08,Albert Ringer
Donald Martinez,1992-11-22,Michel DeFrance
Eddie Gomez,1992-10-02,Reginald Blotchet-Halls
Eduardo Walker,1992-12-12,Heather McBadden
Eduardo Butler,1992-09-27,Burt Gringlesby
Eduardo Brown,1992-10-27,Albert Ringer
Edwin Li,1992-12-07,Sheryl Hunter
Edwin Deng,1992-11-30,Dirk Stringer
Erik Gutierrez,1992-11-30,Sheryl Hunter
Ethan Perry,1992-09-24,Johnson White
Ethan Clark,1992-12-18,Michael O'Leary
Ethan Lal,1992-12-04,Livia Karsen
Ethan Sharma,1992-11-19,Ann Dull
Evelyn Perez,1992-11-02,Morningstar Greene
Fernando Jenkins,1992-11-14,Marjorie Green
Gabriella Rivera,1992-09-28,Michael O'Leary
Gabrielle price,1992-12-18,Marjorie Green
Garrett Murphy,1992-11-25,Heather McBadden
Gerald Martinez,1992-12-17,Ann Dull
Glenn Lu,1992-12-05,Johnson White
Glenn Zeng,1992-09-23,Abraham Bennet
Grant Andersen,1992-11-27,Sylvia Panteley
Hailey Coleman,1992-11-04,Morningstar Greene
Hailey Lopez,1992-12-18,Meander Smith
Hailey Rivera,1992-12-11,Cheryl Carson
Hannah Jenkins,1992-12-24,Charlene Locksley
Harold Subram,1992-11-09,Abraham Bennet
Henry Prasad,1992-12-29,Abraham Bennet
Isabel Long,1992-11-03,Morningstar Greene
Isabel Powell,1992-11-24,Michael O'Leary
Isabella Mitchell,1992-10-14,Michel DeFrance
Isabella Evans,1992-12-27,Johnson White
Isabelle Henderson,1992-12-29,Albert Ringer
Jack Hayes,1992-10-29,Sheryl Hunter
Jack Richins,1992-10-01,Sylvia Panteley
Jackson Foster,1992-12-08,Dean Straight
Jacob Martinez,1992-10-14,Michael O'Leary
James Kumar,1992-10-19,Abraham Bennet
James Mitchell,1992-12-12,Abraham Bennet
James Evans,1992-11-18,Abraham Bennet
Jane Greer,1992-12-14,Albert Ringer
Jared Gray,1992-12-27,Dirk Stringer
Jarrod Rana,1992-10-15,Sylvia Panteley
Jay Carlson,1992-11-17,Cheryl Carson
Jenny Zimmerman,1992-11-01,Dirk Stringer
Jenny Liang,1992-12-15,Dean Straight
Jermaine Kapoor,1992-10-26,Burt Gringlesby
Jermaine Perez,1992-11-16,Albert Ringer
Jessica Rodriguez,1992-09-21,Stearns MacFeather
Jésus Munoz,1992-12-28,Innes del Castillo
Jill Gomez,1992-12-16,Albert Ringer
Jodi Deng,1992-11-01,Dirk Stringer
Joe Gutierrez,1992-11-20,Sylvia Panteley
Johnny Kumar,1992-10-26,Charlene Locksley
Jonathan Butler,1992-12-22,Heather McBadden
Jonathan Hernandez,1992-10-11,Marjorie Green
Jordyn Coleman,1992-11-14,Dean Straight
José Lopez,1992-12-05,Reginald Blotchet-Halls
Joseph White,1992-10-22,Albert Ringer
Joseph Cantoni,1992-11-28,Heather McBadden
Julian Jenkins,1992-11-07,Michael O'Leary
Julie Jai,1992-10-22,Sheryl Hunter
Julie Luo,1992-10-06,Johnson White
Kaitlyn Allen,1992-11-10,Dirk Stringer
